"ENTREZID" "EVIDENCE" "ONTOLOGY" "SYMBOL" "TXCHROM" "GOID"
"2220" "52846" "ND" "MF" "Cnot11" "chr1" "GO:0003674"
"2229" "100217461" "ND" "MF" "Snord89" "chr1" "GO:0003674"
"2232" "67702" "IPI" "MF" "Rnf149" "chr1" "GO:0005515"
"2243" "263764" "ND" "MF" "Creg2" "chr1" "GO:0003674"
"2251" "619289" "IBA" "MF" "Rfx8" "chr1" "GO:0000978"
"2258" "100042065" "ND" "MF" "Gm3646" "chr1" "GO:0003674"
"2261" "73426" NA NA "1700066B17Rik" "chr1" NA
"2262" "26921" "IEA" "MF" "Map4k4" "chr1" "GO:0000166"
"2285" "100047133" NA NA "Gm16894" "chr1" NA
"2286" "16178" "IPI" "MF" "Il1r2" "chr1" "GO:0004908"
"2298" "16177" "IPI" "MF" "Il1r1" "chr1" "GO:0002020"
"2330" "107527" "IEA" "BP" "Il1rl2" "chr1" "GO:0002376"
"2343" "17082" "IPI" "MF" "Il1rl1" "chr1" "GO:0002113"
"2365" "16182" "IPI" "MF" "Il18r1" "chr1" "GO:0005515"
"2375" "16174" "IEA" "MF" "Il18rap" "chr1" "GO:0004908"
"2379" "110895" "IMP" "BP" "Slc9a4" "chr1" "GO:0001696"
"2397" "226999" "IBA" "CC" "Slc9a2" "chr1" "GO:0005886"
"2408" "211798" "IBA" "MF" "Mfsd9" "chr1" "GO:0005215"
"2413" "381339" "ND" "MF" "Tmem182" "chr1" "GO:0003674"
"2418" "74897" NA NA "4930448I06Rik" "chr1" NA
"2419" "66297" "IMP" "BP" "Pantr1" "chr1" "GO:0010468"
"2420" "18993" "ISO" "BP" "Pou3f3" "chr1" "GO:0000122"
"2453" "73100" NA NA "2900092D14Rik" "chr1" NA
"2454" "69527" "IBA" "BP" "Mrps9" "chr1" "GO:0000462"
"2464" "93690" "IEA" "MF" "Gpr45" "chr1" "GO:0004871"
"2472" "73122" "ISO" "MF" "Tgfbrap1" "chr1" "GO:0005160"
"2490" "98404" "ND" "MF" "AI597479" "chr1" "GO:0003674"
"2495" "14200" "ISO" "BP" "Fhl2" "chr1" "GO:0000122"
"2516" "666642" NA NA "Gm8210" NA NA
"2517" "17974" "ISO" "BP" "Nck2" "chr1" "GO:0001771"
"2542" "100861934" NA NA NA NA NA
"2543" "78896" "ND" "MF" "1500015O10Rik" "chr1" "GO:0003674"
"2550" "67883" "IDA" "CC" "Uxs1" "chr1" "GO:0005739"
"2563" "100503192" NA NA "Gm19587" NA NA
"2564" "22019" "ISO" "MF" "Tpp2" "chr1" "GO:0004177"
"2577" "433294" "ND" "CC" "Mettl21c" "chr1" "GO:0005575"
"2584" "75623" "ND" "MF" "Tex30" "chr1" "GO:0003674"
"2587" "72050" "IEA" "CC" "Kdelc1" "chr1" "GO:0005783"
"2591" "246229" "ISO" "CC" "Bivm" "chr1" "GO:0005615"
"2595" "22592" "ISO" "MF" "Ercc5" "chr1" "GO:0000405"
"2631" "100861960" NA NA NA NA NA
"2632" "403183" "ND" "MF" "Mettl21e" "chr1" "GO:0003674"
"2638" "70676" "ND" "MF" "Gulp1" "chr1" "GO:0003674"
"2645" "75066" NA NA "4930521E06Rik" "chr1" NA
"2646" "12825" "IMP" "BP" "Col3a1" "chr1" "GO:0001568"
"2681" "12832" "IMP" "BP" "Col5a2" "chr1" "GO:0001501"
"2698" "73674" "ISO" "MF" "Wdr75" "chr1" "GO:0003723"
"2705" "433297" NA NA "Gm5526" NA NA
"2706" "53945" "IMP" "BP" "Slc40a1" "chr1" "GO:0002260"
"2740" "100042453" NA NA "Gm3852" NA NA
"2741" "212225" NA NA "Stk-ps2" "chr1" NA
"2742" "227058" "ND" "MF" "Dnah7b" "chr1" "GO:0003674"
"2746" "100101919" "ND" "MF" "Dnah7c" "chr1" "GO:0003674"
"2750" "227059" "IMP" "BP" "Slc39a10" "chr1" "GO:0002903"
"2767" "442837" "ND" "MF" "C230029F24Rik" NA "GO:0003674"
"2770" "56363" "IEA" "CC" "Tmeff2" "chr1" "GO:0016020"
"2776" "442821" NA NA "9330175M20Rik" "chr1" NA
"2777" "20324" "ISO" "MF" "Sdpr" "chr1" "GO:0001786"
"2787" "109019" "ISO" "BP" "Nabp1" "chr1" "GO:0000724"
"2801" "100045066" NA NA "Gm17767" NA NA
"2802" "17912" "ISO" "MF" "Myo1b" "chr1" "GO:0000146"
"2831" "20849" "IDA" "MF" "Stat4" "chr1" "GO:0000977"
"2851" "100042634" NA NA "Gm3940" NA NA
"2852" "20846" "ISO" "CC" "Stat1" "chr1" "GO:0000790"
"2921" "14660" "IMP" "BP" "Gls" "chr1" "GO:0001967"
"2940" "17936" "IGI" "BP" "Nab1" "chr1" "GO:0001958"
"2949" "227094" "ND" "MF" "Nemp2" "chr1" "GO:0003674"
"2955" "98682" "IEA" "BP" "Mfsd6" "chr1" "GO:0002250"
"2959" "16329" "IEA" "MF" "Inpp1" "chr1" "GO:0004441"
"2963" "227095" "ISO" "MF" "Hibch" "chr1" "GO:0003860"
"2968" "67080" "ND" "MF" "1700019D03Rik" "chr1" "GO:0003674"
"2973" "17700" "IPI" "MF" "Mstn" "chr1" "GO:0005102"
"3003" "69397" "ND" "MF" "1700019A02Rik" "chr1" "GO:0003674"
"3006" "227099" "IBA" "MF" "Pms1" "chr1" "GO:0003697"
"3010" "227102" "ND" "MF" "Ormdl1" "chr1" "GO:0003674"
"3021" "72085" "IBA" "CC" "Osgepl1" "chr1" "GO:0000408"
"3031" "70396" "IBA" "MF" "Asnsd1" "chr1" "GO:0004066"
"3036" "627872" "ND" "MF" "Dnah7a" "chr1" "GO:0003674"
"3042" "98267" "IEA" "MF" "Stk17b" "chr1" "GO:0000166"
"3062" "329152" "IEA" "MF" "Hecw2" "chr1" "GO:0004842"
"3067" "78016" "ND" "MF" "Ccdc150" "chr1" "GO:0003674"
"3070" "98488" "ISO" "CC" "Gtf3c3" "chr1" "GO:0000127"
"3077" "241062" "ISO" "MF" "Pgap1" "chr1" "GO:0004518"
"3097" "329154" "ND" "MF" "Ankrd44" "chr1" "GO:0003674"
"3100" "81898" "IBA" "BP" "Sf3b1" "chr1" "GO:0000245"
"3127" "67876" "IDA" "CC" "Coq10b" "chr1" "GO:0005739"
"3133" "15510" "IEA" "MF" "Hspd1" "chr1" "GO:0000166"
"3228" "15528" "ISO" "BP" "Hspe1" "chr1" "GO:0001649"
"3245" "19070" "ISO" "CC" "Mob4" "chr1" "GO:0005737"
"3255" "74013" "ND" "MF" "Rftn2" "chr1" "GO:0003674"
"3264" "212679" "IEA" "MF" "Mars2" "chr1" "GO:0000166"
"3277" "75388" "IEA" "MF" "Boll" "chr1" "GO:0003676"
"3287" "227120" "IEA" "MF" "Plcl1" "chr1" "GO:0004435"
"3303" "626009" NA NA "Gm6644" NA NA
"3304" "329159" NA NA "9130227L01Rik" "chr1" NA
"3305" "71066" "ND" "MF" "Hsfy2" "chr1" "GO:0003674"
"3308" "212712" "IDA" "CC" "Satb2" "chr1" "GO:0000118"
"3337" "329160" "ND" "MF" "9130024F11Rik" "chr1" "GO:0003674"
"3340" "407809" NA NA "BC055402" "chr1" NA
"3341" "75323" "ND" "MF" "4930558J18Rik" "chr1" "GO:0003674"
"3344" "73467" "ND" "MF" "1700066M21Rik" "chr1" "GO:0003674"
"3348" "68736" "ISO" "MF" "Tyw5" "chr1" "GO:0000049"
"3359" "68115" "IEA" "CC" "Maip1" "chr1" "GO:0005739"
"3370" "67198" "ISO" "MF" "Spats2l" "chr1" "GO:0003723"
"3377" "51960" "ND" "MF" "Kctd18" "chr1" "GO:0003674"
"3380" "68549" "IDA" "CC" "Sgol2a" "chr1" "GO:0000775"
"3401" "11761" "IEA" "MF" "Aox1" "chr1" "GO:0003824"
"3422" "71724" "IEA" "MF" "Aox3" "chr1" "GO:0003824"
"3440" "71872" "IEA" "MF" "Aox4" "chr1" "GO:0003824"
"3458" "213043" "IEA" "MF" "Aox2" "chr1" "GO:0003824"
"3475" "66882" "ISO" "MF" "Bzw1" "chr1" "GO:0003723"
"3481" "12747" "IEA" "MF" "Clk1" "chr1" "GO:0000166"
"3500" "70225" "IEA" "BP" "Ppil3" "chr1" "GO:0000413"
"3508" "65102" "IPI" "MF" "Nif3l1" "chr1" "GO:0005515"
"3518" "18393" "ISO" "CC" "Orc2" "chr1" "GO:0000784"
"3532" "100504455" "ND" "MF" "Gm15834" NA "GO:0003674"
"3535" "213056" "ND" "MF" "Fam126b" "chr1" "GO:0003674"
"3541" "66495" "ND" "MF" "Ndufb3" "chr1" "GO:0003674"
"3553" "100504501" NA NA "Gm20257" "chr1" NA
"3554" "108812" "IDA" "CC" "Als2cr12" "chr1" "GO:0001520"
"3560" "12633" "ISO" "MF" "Cflar" "chr1" "GO:0002020"
"3607" "12370" "IMP" "BP" "Casp8" "chr1" "GO:0001525"
"3679" "70827" "ISO" "MF" "Trak2" "chr1" "GO:0005102"
"3694" "227154" "IEA" "MF" "Stradb" "chr1" "GO:0000166"
"3711" "73463" "ND" "MF" "Als2cr11" "chr1" "GO:0003674"
"3714" "381259" "ND" "MF" "Tmem237" "chr1" "GO:0003674"
"3726" "227157" "ISO" "MF" "Mpp4" "chr1" "GO:0005102"
"3730" "74018" "IMP" "BP" "Als2" "chr1" "GO:0001662"
"3781" "271697" "IEA" "MF" "Cdk15" "chr1" "GO:0000166"
"3794" "14369" "IEA" "MF" "Fzd7" "chr1" "GO:0004871"
"3836" "381260" "ND" "MF" "Gm973" "chr1" "GO:0003674"
"3839" "22218" "ISO" "CC" "Sumo1" "chr1" "GO:0000792"
"3894" "55989" "IBA" "BP" "Nop58" "chr1" "GO:0000154"
"3914" "100217459" "ND" "MF" "Snord70" "chr1" "GO:0003674"
"3917" "100217421" "ND" "MF" "Snord11" "chr1" "GO:0003674"
"3920" "12168" "IEA" "MF" "Bmpr2" "chr1" "GO:0000166"
"4002" "100504533" NA NA NA NA NA
"4003" "72750" "ND" "MF" "Fam117b" "chr1" "GO:0003674"
"4005" "70375" "IDA" "CC" "Ica1l" "chr1" "GO:0001669"
"4009" "57750" "IBA" "BP" "Wdr12" "chr1" "GO:0000460"
"4025" "241066" "IDA" "MF" "Carf" "chr1" "GO:0000978"
"4043" "100504573" NA NA "Gm15464" NA NA
"4044" "269198" NA NA "Nbeal1" "chr1" NA
"4045" "77951" "IEA" "MF" "Cyp20a1" "chr1" "GO:0004497"
"4054" "329165" "IEA" "CC" "Abi2" "chr1" "GO:0005737"
"4079" "77300" "IPI" "MF" "Raph1" "chr1" "GO:0005515"
"4085" "100043027" NA NA "Gm11575" NA NA
"4086" "100042533" NA NA "Gm11578" NA NA
"4087" "12487" "IDA" "CC" "Cd28" "chr1" "GO:0001772"
"4129" "100504618" NA NA "Gm11579" NA NA
"4130" "12477" "IEA" "BP" "Ctla4" "chr1" "GO:0002250"
"4149" "54167" "ISO" "BP" "Icos" "chr1" "GO:0002517"
"4157" "77341" NA NA "9530026F06Rik" "chr1" NA
"4158" "72823" "ND" "MF" "Pard3b" "chr1" "GO:0003674"
"4165" "18187" "IEA" "BP" "Nrp2" "chr1" "GO:0001525"
"4200" "74992" NA NA "4930487H11Rik" "chr1" NA
"4201" "227195" "ND" "MF" "Ino80d" "chr1" "GO:0003674"
"4209" "100380944" "ND" "MF" "Ino80dos" "chr1" "GO:0003674"
"4212" "100504668" NA NA "Gm20342" NA NA
"4213" "227197" "IEA" "MF" "Ndufs1" "chr1" "GO:0003954"
"4239" "55949" "ISS" "MF" "Eef1b2" "chr1" "GO:0003746"
"4247" "100217464" "ND" "MF" "Snora41" "chr1" "GO:0003674"
"4250" "241070" "IEA" "MF" "Gpr1" "chr1" "GO:0004871"
"4264" "73884" "ND" "MF" "Zdbf2" "chr1" "GO:0003674"
"4267" "23792" "IEA" "MF" "Adam23" "chr1" "GO:0004222"
"4276" "241073" "ND" "MF" "Dytn" "chr1" "GO:0003674"
"4283" "76668" "IEA" "MF" "Mdh1b" "chr1" "GO:0003824"
"4295" "75619" "ISO" "MF" "Fastkd2" "chr1" "GO:0003723"
"4307" "74426" "ND" "MF" "4933402D24Rik" "chr1" "GO:0003674"
"4310" "433315" NA NA "Gm13749" "chr1" NA
"4311" "93691" "ISO" "MF" "Klf7" "chr1" "GO:0000978"
"4326" "12912" "ISO" "CC" "Creb1" "chr1" "GO:0000785"
"4408" "67099" "ND" "CC" "Mettl21a" "chr1" "GO:0005575"
"4418" "69941" NA NA "2810408I11Rik" "chr1" NA
"4419" "227210" "IDA" "BP" "Ccnyl1" "chr1" "GO:0001932"
"4426" "14367" "ISO" "BP" "Fzd5" "chr1" "GO:0000578"
"4479" "241075" "ND" "MF" "Plekhm3" "chr1" "GO:0003674"
"4483" "70861" "ND" "MF" "Akr1cl" "chr1" "GO:0003674"
"4486" "667276" NA NA "Gm8550" NA NA
"4487" "12968" "IMP" "BP" "Cryge" "chr1" "GO:0001654"
"4490" "12967" "IMP" "BP" "Crygd" "chr1" "GO:0001654"
"4500" "12966" "IMP" "BP" "Crygc" "chr1" "GO:0001654"
"4506" "12965" "IMP" "BP" "Crygb" "chr1" "GO:0001654"
"4513" "12964" "IMP" "BP" "Cryga" "chr1" "GO:0001654"
"4516" "98303" "ND" "MF" "D630023F18Rik" "chr1" "GO:0003674"
"4519" "15926" "ISO" "MF" "Idh1" "chr1" "GO:0000287"
"4549" "18711" "IEA" "MF" "Pikfyve" "chr1" "GO:0000166"
"4579" "213527" "IEA" "MF" "Pth2r" "chr1" "GO:0004871"
"4589" "12969" "IMP" "BP" "Crygf" "chr1" "GO:0001654"
"4591" "17756" "IMP" "BP" "Map2" "chr1" "GO:0001578"
"4626" "100038569" "ND" "MF" "Gm10558" NA "GO:0003674"
"4629" "329178" "IPI" "MF" "Unc80" "chr1" "GO:0005515"
"4634" "66646" "IEA" "MF" "Rpe" "chr1" "GO:0003824"
"4655" "68691" "IEA" "CC" "Kansl1l" "chr1" "GO:0000123"
"4657" "11363" "ISO" "MF" "Acadl" "chr1" "GO:0000062"
"4686" "100862127" NA NA NA NA NA
"4687" "17901" "IEA" "MF" "Myl1" "chr1" "GO:0005509"
"4693" "14768" "IEA" "CC" "Lancl1" "chr1" "GO:0005737"
